"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","771","Tokens Base status usd+","chromium","Mon Mar 17 15:20:43 AMT 2025","passed","Mon Mar 17 15:20:44 AMT 2025","Tokens Base status","api_tests\main_page\tokens\base.spec.ts","",""
"","11890","Annualized Yield","chromium","Mon Mar 17 15:21:01 AMT 2025","passed","Mon Mar 17 15:21:13 AMT 2025","","api_tests\stats_page\base_usdplus\payouts.spec.ts","",""
"","5850","Sum of strategies balance","chromium","Mon Mar 17 15:20:51 AMT 2025","passed","Mon Mar 17 15:20:57 AMT 2025","","api_tests\stats_page\arbi_xusd\portfolio.spec.ts","",""
"","759","Sum of strategies balance","chromium","Mon Mar 17 15:21:00 AMT 2025","passed","Mon Mar 17 15:21:01 AMT 2025","","api_tests\stats_page\base_ovnplus\portfolio.spec.ts","",""
"","4605","Tvl data API request sent from main page","chromium","Mon Mar 17 15:20:44 AMT 2025","passed","Mon Mar 17 15:20:48 AMT 2025","","api_tests\main_page\tvl_data\tvl_api.spec.ts","",""
"","1485","Check response structure","chromium","Mon Mar 17 15:20:44 AMT 2025","passed","Mon Mar 17 15:20:45 AMT 2025","Chain Values","api_tests\main_page\tvl_data\tvl_api.spec.ts","",""
"","1867","Total Supply status","chromium","Mon Mar 17 15:20:55 AMT 2025","passed","Mon Mar 17 15:20:57 AMT 2025","","api_tests\stats_page\arbi_xusd\supply.spec.ts","",""
"","2959","Sum of collateral balance","chromium","Mon Mar 17 15:20:57 AMT 2025","passed","Mon Mar 17 15:21:00 AMT 2025","","api_tests\stats_page\base_ovnplus\collateral.spec.ts","",""
"","352","Pool WETH/USDC Pancake (0x72AB388E2E2F6FaceF59E3C3FA2C4E29011c2D38) found in the API response (Chain ID: 8453)","chromium","Mon Mar 17 15:20:48 AMT 2025","passed","Mon Mar 17 15:20:49 AMT 2025","Проверка API пулов для разных пар","api_tests\pools_page\pools.spec.ts","",""
"","890","Daily profits","chromium","Mon Mar 17 15:20:59 AMT 2025","passed","Mon Mar 17 15:21:00 AMT 2025","","api_tests\stats_page\base_ovnplus\payouts.spec.ts","",""
